Id,sepal_length,sepal_width,petal_length,petal_width,species
1,0.2222222222222221,0.625,0.06779661016949151,0.04166666666666667,setosa
2,0.16666666666666674,0.41666666666666674,0.06779661016949151,0.04166666666666667,setosa
3,0.11111111111111116,0.5,0.05084745762711865,0.04166666666666667,setosa
4,0.08333333333333326,0.45833333333333326,0.0847457627118644,0.04166666666666667,setosa
5,0.19444444444444442,0.6666666666666667,0.06779661016949151,0.04166666666666667,setosa
6,0.3055555555555556,0.7916666666666665,0.11864406779661013,0.125,setosa
7,0.08333333333333326,0.5833333333333333,0.06779661016949151,0.08333333333333333,setosa
8,0.19444444444444442,0.5833333333333333,0.0847457627118644,0.04166666666666667,setosa
9,0.0277777777777779,0.375,0.06779661016949151,0.04166666666666667,setosa
10,0.16666666666666674,0.45833333333333326,0.0847457627118644,0.0,setosa
11,0.3055555555555556,0.7083333333333333,0.0847457627118644,0.04166666666666667,setosa
12,0.13888888888888884,0.5833333333333333,0.1016949152542373,0.04166666666666667,setosa
13,0.13888888888888884,0.41666666666666674,0.06779661016949151,0.0,setosa
14,0.0,0.41666666666666674,0.01694915254237289,0.0,setosa
15,0.4166666666666665,0.8333333333333333,0.033898305084745756,0.04166666666666667,setosa
16,0.38888888888888884,1.0,0.0847457627118644,0.125,setosa
17,0.3055555555555556,0.7916666666666665,0.05084745762711865,0.125,setosa
18,0.2222222222222221,0.625,0.06779661016949151,0.08333333333333333,setosa
19,0.38888888888888884,0.7499999999999998,0.11864406779661013,0.08333333333333333,setosa
20,0.2222222222222221,0.7499999999999998,0.0847457627118644,0.08333333333333333,setosa
21,0.3055555555555556,0.5833333333333333,0.11864406779661013,0.04166666666666667,setosa
22,0.2222222222222221,0.7083333333333333,0.0847457627118644,0.125,setosa
23,0.08333333333333326,0.6666666666666667,0.0,0.04166666666666667,setosa
24,0.2222222222222221,0.5416666666666665,0.11864406779661013,0.16666666666666669,setosa
25,0.13888888888888884,0.5833333333333333,0.15254237288135591,0.04166666666666667,setosa
26,0.19444444444444442,0.41666666666666674,0.1016949152542373,0.04166666666666667,setosa
27,0.19444444444444442,0.5833333333333333,0.1016949152542373,0.125,setosa
28,0.25,0.625,0.0847457627118644,0.04166666666666667,setosa
29,0.25,0.5833333333333333,0.06779661016949151,0.04166666666666667,setosa
30,0.11111111111111116,0.5,0.1016949152542373,0.04166666666666667,setosa
31,0.13888888888888884,0.45833333333333326,0.1016949152542373,0.04166666666666667,setosa
32,0.3055555555555556,0.5833333333333333,0.0847457627118644,0.125,setosa
33,0.25,0.8749999999999998,0.0847457627118644,0.0,setosa
34,0.33333333333333326,0.9166666666666667,0.06779661016949151,0.04166666666666667,setosa
35,0.16666666666666674,0.45833333333333326,0.0847457627118644,0.0,setosa
36,0.19444444444444442,0.5,0.033898305084745756,0.04166666666666667,setosa
37,0.33333333333333326,0.625,0.05084745762711865,0.04166666666666667,setosa
38,0.16666666666666674,0.45833333333333326,0.0847457627118644,0.0,setosa
39,0.0277777777777779,0.41666666666666674,0.05084745762711865,0.04166666666666667,setosa
40,0.2222222222222221,0.5833333333333333,0.0847457627118644,0.04166666666666667,setosa
41,0.19444444444444442,0.625,0.05084745762711865,0.08333333333333333,setosa
42,0.05555555555555558,0.12499999999999989,0.05084745762711865,0.08333333333333333,setosa
43,0.0277777777777779,0.5,0.05084745762711865,0.04166666666666667,setosa
44,0.19444444444444442,0.625,0.1016949152542373,0.20833333333333331,setosa
45,0.2222222222222221,0.7499999999999998,0.15254237288135591,0.125,setosa
46,0.13888888888888884,0.41666666666666674,0.06779661016949151,0.08333333333333333,setosa
47,0.2222222222222221,0.7499999999999998,0.1016949152542373,0.04166666666666667,setosa
48,0.08333333333333326,0.5,0.06779661016949151,0.04166666666666667,setosa
49,0.2777777777777777,0.7083333333333333,0.0847457627118644,0.04166666666666667,setosa
50,0.19444444444444442,0.5416666666666665,0.06779661016949151,0.04166666666666667,setosa
51,0.75,0.5,0.6271186440677966,0.5416666666666667,versicolor
52,0.5833333333333335,0.5,0.5932203389830508,0.5833333333333334,versicolor
53,0.7222222222222223,0.45833333333333326,0.6610169491525424,0.5833333333333334,versicolor
54,0.33333333333333326,0.12499999999999989,0.5084745762711864,0.5000000000000001,versicolor
55,0.6111111111111112,0.33333333333333326,0.6101694915254237,0.5833333333333334,versicolor
56,0.38888888888888884,0.33333333333333326,0.5932203389830508,0.5000000000000001,versicolor
57,0.5555555555555556,0.5416666666666665,0.6271186440677966,0.6250000000000001,versicolor
58,0.16666666666666674,0.16666666666666663,0.38983050847457623,0.375,versicolor
59,0.6388888888888888,0.375,0.6101694915254237,0.5000000000000001,versicolor
60,0.25,0.29166666666666674,0.49152542372881347,0.5416666666666667,versicolor
61,0.19444444444444442,0.0,0.423728813559322,0.375,versicolor
62,0.44444444444444464,0.41666666666666674,0.5423728813559322,0.5833333333333334,versicolor
63,0.4722222222222223,0.08333333333333337,0.5084745762711864,0.375,versicolor
64,0.4999999999999998,0.375,0.6271186440677966,0.5416666666666667,versicolor
65,0.36111111111111094,0.375,0.44067796610169496,0.5000000000000001,versicolor
66,0.6666666666666667,0.45833333333333326,0.576271186440678,0.5416666666666667,versicolor
67,0.36111111111111094,0.41666666666666674,0.5932203389830508,0.5833333333333334,versicolor
68,0.4166666666666665,0.29166666666666674,0.5254237288135593,0.375,versicolor
69,0.5277777777777779,0.08333333333333337,0.5932203389830508,0.5833333333333334,versicolor
70,0.36111111111111094,0.20833333333333326,0.49152542372881347,0.4166666666666667,versicolor
71,0.44444444444444464,0.5,0.6440677966101694,0.7083333333333334,versicolor
72,0.4999999999999998,0.33333333333333326,0.5084745762711864,0.5000000000000001,versicolor
73,0.5555555555555556,0.20833333333333326,0.6610169491525424,0.5833333333333334,versicolor
74,0.4999999999999998,0.33333333333333326,0.6271186440677966,0.4583333333333333,versicolor
75,0.5833333333333335,0.375,0.559322033898305,0.5000000000000001,versicolor
76,0.6388888888888888,0.41666666666666674,0.576271186440678,0.5416666666666667,versicolor
77,0.6944444444444444,0.33333333333333326,0.6440677966101694,0.5416666666666667,versicolor
78,0.6666666666666667,0.41666666666666674,0.6779661016949152,0.6666666666666667,versicolor
79,0.4722222222222223,0.375,0.5932203389830508,0.5833333333333334,versicolor
80,0.38888888888888884,0.25,0.423728813559322,0.375,versicolor
81,0.33333333333333326,0.16666666666666663,0.47457627118644063,0.4166666666666667,versicolor
82,0.33333333333333326,0.16666666666666663,0.4576271186440678,0.375,versicolor
83,0.4166666666666665,0.29166666666666674,0.49152542372881347,0.4583333333333333,versicolor
84,0.4722222222222223,0.29166666666666674,0.6949152542372881,0.6250000000000001,versicolor
85,0.3055555555555556,0.41666666666666674,0.5932203389830508,0.5833333333333334,versicolor
86,0.4722222222222223,0.5833333333333333,0.5932203389830508,0.6250000000000001,versicolor
87,0.6666666666666667,0.45833333333333326,0.6271186440677966,0.5833333333333334,versicolor
